n_vehicles,to_stop_I,route_type,from_stop_I,duration_avg,route_I_counts,BUS,FERRY,id,stop_I,name,lon_bus,lat_bus,lon_ferry,lat_ferry,stop_lon,stop_lat
9,426,3,135,60.0,"{'461': 1, '652': 7, '458': 1}",1,0,119,135,Incr. via Di Vittorio,12.147483,45.436424,12.14412,45.435432,12.147483,45.436424
6,429,3,136,50.0,"{'443': 1, '454': 2, '645': 3}",1,0,120,136,Mira Scuole Civ.16,12.141922,45.435265,12.143954,45.435333,12.141922,45.435265
3,1896,3,137,40.0,"{'461': 1, '458': 1, '462': 1}",1,0,121,137,Civico 35,12.141052,45.432892,12.140191,45.43058,12.141052,45.432892
7,1622,3,137,0.0,{'652': 7},1,0,121,137,Civico 35,12.141052,45.432892,12.137235,45.432674,12.141052,45.432892
4,715,3,138,60.0,"{'470': 1, '472': 1, '469': 1, '473': 1}",1,0,122,138,Incr. via Stazione,12.072989,45.458889,12.080317,45.46365,12.072989,45.458889
1,140,3,138,60.0,{'526': 1},1,0,122,138,Incr. via Stazione,12.072989,45.458889,12.077374,45.459969,12.072989,45.458889
4,1925,3,139,45.0,"{'465': 1, '531': 1, '463': 1, '532': 1}",1,0,123,139,Incr. via Stazione,12.072437,45.459087,12.067975,45.459774,12.072437,45.459087
2,715,3,140,30.0,"{'526': 1, '212': 1}",1,0,124,140,Ballo' Cimitero,12.077374,45.459969,12.080317,45.46365,12.077374,45.459969
2,139,3,141,30.0,"{'531': 1, '532': 1}",1,0,125,141,Cimitero Ballo',12.077264,45.460117,12.072437,45.459087,12.077264,45.460117
4,143,3,141,60.0,"{'214': 1, '213': 1, '533': 2}",1,0,125,141,Cimitero Ballo',12.077264,45.460117,12.072563,45.455982,12.077264,45.460117
15,715,3,142,120.0,"{'527': 1, '530': 1, '525': 2, '528': 11}",1,0,126,142,Scatamburlo,12.072736,45.455818,12.080317,45.46365,12.072736,45.455818
1,140,3,142,120.0,{'212': 1},1,0,126,142,Scatamburlo,12.072736,45.455818,12.077374,45.459969,12.072736,45.455818
16,145,3,143,41.25,"{'214': 1, '213': 1, '537': 2, '534': 10, '533': 2}",1,0,127,143,Scatamburlo,12.072563,45.455982,12.072574,45.452106,12.072563,45.455982
